dist,under_h0,theta_true,n,estimator,mean_hat,std_hat,q25,q75,bias,rmse,mae
"Cauchy(loc=2.0,scale=1.0)",True,2.0,20,argmin,1.9885630896519184,0.4167924930337566,1.727367438584694,2.25163645399082,-0.0114369103480818,0.4165325355876844,0.3224503653520615
"Cauchy(loc=2.0,scale=1.0)",True,2.0,20,median,2.0003183242438984,0.3560569108981534,1.7822187747946192,2.232402367613831,0.0003183242438984,0.3557008182181525,0.27919794500858
"Cauchy(loc=2.0,scale=1.0)",True,2.0,20,trimmed,2.0099486367261536,0.5721457842981922,1.733755200533588,2.3243904897960417,0.0099486367261536,0.5716599271121967,0.4090075402428364
"Cauchy(loc=2.0,scale=1.0)",True,2.0,40,argmin,2.007928008710412,0.2673021115087974,1.8579058063924607,2.169942181244786,0.0079280087104121,0.2671523372563673,0.2064682483455673
"Cauchy(loc=2.0,scale=1.0)",True,2.0,40,median,2.000088885078086,0.2466170050590067,1.833929770839148,2.1592945385619324,8.88850780857986e-05,0.2463702806558914,0.1925697950764069
"Cauchy(loc=2.0,scale=1.0)",True,2.0,40,trimmed,2.009545843066415,0.3767729998974215,1.775312260714847,2.226269327477122,0.009545843066415,0.3765170657282982,0.2875155226576127
"Cauchy(loc=2.0,scale=1.0)",True,2.0,80,argmin,1.9947630655397592,0.1831809930198275,1.8706757384306756,2.1238222786420557,-0.0052369344602407,0.1830726389547697,0.145379522002932
"Cauchy(loc=2.0,scale=1.0)",True,2.0,80,median,1.984873333214621,0.1785187983068553,1.8561326299607763,2.107099782940736,-0.0151266667853788,0.1789805561346308,0.1446283534994052
"Cauchy(loc=2.0,scale=1.0)",True,2.0,80,trimmed,1.987502460408696,0.2479751542208562,1.8296662833906872,2.1546394287937787,-0.0124975395913038,0.2480420977424435,0.1926501210503438
"Cauchy(loc=2.0,scale=1.0)",True,2.0,160,argmin,1.9950623608078453,0.1364782382393927,1.909167059387636,2.0821813498324278,-0.0049376391921547,0.1364310711483805,0.1068062371332252
"Cauchy(loc=2.0,scale=1.0)",True,2.0,160,median,1.9923413290439684,0.1258269652942472,1.9171218948639872,2.076059704543222,-0.0076586709560315,0.1259341716357484,0.0990057582701484
"Cauchy(loc=2.0,scale=1.0)",True,2.0,160,trimmed,2.001633621296921,0.1759626966150964,1.8988488669624903,2.1179179683370237,0.0016336212969214,0.1757942364737766,0.1360099767692454
"Gamma(k=2.0,s=1.0)",False,,20,argmin,1.828363983447285,0.3224752365024094,1.6088447707083362,2.035685574338496,,,
"Gamma(k=2.0,s=1.0)",False,,20,median,1.7003463843454354,0.3537536202486623,1.4410236763412247,1.9065756274184944,,,
"Gamma(k=2.0,s=1.0)",False,,20,trimmed,1.832557457745041,0.3124783140509533,1.623758465735556,2.0169328198570184,,,
"Gamma(k=2.0,s=1.0)",False,,40,argmin,1.8462447679538672,0.2224226117769953,1.6857701528400353,1.9872352176405783,,,
"Gamma(k=2.0,s=1.0)",False,,40,median,1.697661126240334,0.2517512130906172,1.5329306240437766,1.848501795258814,,,
"Gamma(k=2.0,s=1.0)",False,,40,trimmed,1.8362707960244429,0.2222084397891755,1.6769152908207414,1.981966044810828,,,
"Gamma(k=2.0,s=1.0)",False,,80,argmin,1.8376172147389152,0.1687724284350392,1.714665992807967,1.9344374599817595,,,
"Gamma(k=2.0,s=1.0)",False,,80,median,1.6806895339283088,0.1661115537780342,1.562543349639646,1.7948229960748048,,,
"Gamma(k=2.0,s=1.0)",False,,80,trimmed,1.8263929202867304,0.153249526456831,1.7162810083219011,1.9255872268135008,,,
"Gamma(k=2.0,s=1.0)",False,,160,argmin,1.8489839837147524,0.1145483971769163,1.768129319351768,1.9239206415382253,,,
"Gamma(k=2.0,s=1.0)",False,,160,median,1.6781009069990898,0.1193828368180891,1.5942650043968785,1.757718083335625,,,
"Gamma(k=2.0,s=1.0)",False,,160,trimmed,1.8155079908316405,0.1044500426885003,1.7379638714765078,1.8780091559928176,,,
"Pareto(a=3.0,s=1.0)",False,,20,argmin,0.3393418025085061,0.1162512348745275,0.2599873319745323,0.404314337786775,,,
"Pareto(a=3.0,s=1.0)",False,,20,median,0.2725218667362482,0.1003036862716879,0.2018365512992358,0.3236277018114961,,,
"Pareto(a=3.0,s=1.0)",False,,20,trimmed,0.3648262962819233,0.1091799508461121,0.2863646934402562,0.4343203767044007,,,
"Pareto(a=3.0,s=1.0)",False,,40,argmin,0.3463338187289291,0.0820710494807692,0.2871313884560974,0.3947918986131405,,,
"Pareto(a=3.0,s=1.0)",False,,40,median,0.2651187726294024,0.0664484383772636,0.2173330911508542,0.304783793589108,,,
"Pareto(a=3.0,s=1.0)",False,,40,trimmed,0.3569866678039443,0.0768031647804765,0.3025890248123175,0.401720043278205,,,
"Pareto(a=3.0,s=1.0)",False,,80,argmin,0.3436452406121471,0.0557109063526804,0.3032297490757818,0.3798681965251397,,,
"Pareto(a=3.0,s=1.0)",False,,80,median,0.2650716661391732,0.0491168192579638,0.2307163568582986,0.2965267953455358,,,
"Pareto(a=3.0,s=1.0)",False,,80,trimmed,0.3461181471570351,0.0499618139085342,0.30886955347465,0.3789117881357582,,,
"Pareto(a=3.0,s=1.0)",False,,160,argmin,0.3501096639654026,0.038522916788435,0.3221475152131596,0.3755337670273684,,,
"Pareto(a=3.0,s=1.0)",False,,160,median,0.2620182144797402,0.0341235715459274,0.2387163260584139,0.2839809582123683,,,
"Pareto(a=3.0,s=1.0)",False,,160,trimmed,0.3459422129238834,0.0365755219133808,0.3222258344038276,0.3703890244315584,,,
"Uniforme(1.0,3.0)",True,2.0,20,argmin,2.0108049620298782,0.1519506765379556,1.9008225257192184,2.101728608347352,0.0108049620298782,0.1521827102157431,0.1228876625591885
"Uniforme(1.0,3.0)",True,2.0,20,median,1.9887391423379943,0.2096340440787357,1.839304398407416,2.1267558169603213,-0.0112608576620054,0.2097268377848091,0.1696576019485426
"Uniforme(1.0,3.0)",True,2.0,20,trimmed,1.9888310011880597,0.1448295372129917,1.903198587220877,2.0839413355066183,-0.0111689988119405,0.1451150929231409,0.1130731988602769
"Uniforme(1.0,3.0)",True,2.0,40,argmin,1.9967393314243185,0.0985859887773066,1.9293299793546144,2.066739975435952,-0.0032606685756817,0.0985413149313184,0.0797570351003914
"Uniforme(1.0,3.0)",True,2.0,40,median,1.992023904103526,0.1479515086859126,1.886532803326124,2.097726443962977,-0.0079760958964738,0.1480185384684721,0.1201849358988435
"Uniforme(1.0,3.0)",True,2.0,40,trimmed,1.998773577846871,0.1054549993487221,1.9315827519982365,2.068454611819978,-0.001226422153129,0.1053566300009704,0.0834584720121878
"Uniforme(1.0,3.0)",True,2.0,80,argmin,1.999601389225535,0.0668266371574292,1.951848817399092,2.0461690885388184,-0.0003986107744649,0.0667609670799688,0.0539559726411827
"Uniforme(1.0,3.0)",True,2.0,80,median,1.9953968237633768,0.1103959240736351,1.913561684123346,2.0820741816731747,-0.0046031762366232,0.1103814964721582,0.0902979678841661
"Uniforme(1.0,3.0)",True,2.0,80,trimmed,1.995823241462223,0.0777234598443722,1.9456473447104423,2.0493608704592274,-0.0041767585377769,0.077757955539239,0.0618903063240575
"Uniforme(1.0,3.0)",True,2.0,160,argmin,1.999331107500174,0.0474076196272549,1.963901061292759,2.0335007059091303,-0.0006688924998259,0.0473649116023809,0.0388339685186316
"Uniforme(1.0,3.0)",True,2.0,160,median,1.9980407416419808,0.0827166737998183,1.9401477865624857,2.055393366866244,-0.0019592583580192,0.0826571395680373,0.0666415984322537
"Uniforme(1.0,3.0)",True,2.0,160,trimmed,1.9993141394544207,0.0536477011299694,1.9632335085349224,2.0355725435632515,-0.0006858605455792,0.0535984149909812,0.0432080237436323
"Weibull(k=1.5,s=1.0)",False,,20,argmin,0.8364821409338222,0.150667476950463,0.7311498726512735,0.930845244714944,,,
"Weibull(k=1.5,s=1.0)",False,,20,median,0.8003763933939226,0.1681116545552526,0.6843149691413933,0.912771084755012,,,
"Weibull(k=1.5,s=1.0)",False,,20,trimmed,0.848636845267229,0.1459575226935232,0.7483602441987547,0.942457753449311,,,
"Weibull(k=1.5,s=1.0)",False,,40,argmin,0.8388470134038759,0.1023752574603135,0.7673359051350932,0.908743924353084,,,
"Weibull(k=1.5,s=1.0)",False,,40,median,0.796333852439682,0.1159322726848404,0.7137123533041878,0.8725955299516304,,,
"Weibull(k=1.5,s=1.0)",False,,40,trimmed,0.8410259849701002,0.0974141420941073,0.7737865346408941,0.9049662614991336,,,
"Weibull(k=1.5,s=1.0)",False,,80,argmin,0.843371853765334,0.0729593820590568,0.7912197418149401,0.8908283109680586,,,
"Weibull(k=1.5,s=1.0)",False,,80,median,0.7835924127278906,0.0802714668234316,0.7303765551977792,0.836415771034982,,,
"Weibull(k=1.5,s=1.0)",False,,80,trimmed,0.8409940058329185,0.0696884323751251,0.794890657217609,0.8848681167534983,,,
"Weibull(k=1.5,s=1.0)",False,,160,argmin,0.8516779828326208,0.0505839625520966,0.8174251842856761,0.8839474036599029,,,
"Weibull(k=1.5,s=1.0)",False,,160,median,0.7829218808572075,0.059654458684553,0.7419204403613122,0.8243245340240948,,,
"Weibull(k=1.5,s=1.0)",False,,160,trimmed,0.839634118549601,0.048401065219343,0.8068961153404023,0.8703486866049033,,,
